Date,Price,Open,High,Low,Chg%
24-Mar-23,"70,352","69,930","71,342","69,881",0.33%
23-Mar-23,"70,122","69,499","70,177","69,377",1.24%
22-Mar-23,"69,260","68,400","69,447","68,400",1.22%
21-Mar-23,"68,425","68,850","69,272","68,175",-0.63%
20-Mar-23,"68,857","68,157","69,529","68,157",0.58%
17-Mar-23,"68,458","67,000","68,668","67,000",2.74%
16-Mar-23,"66,633","67,157","67,871","66,330",-1.04%
15-Mar-23,"67,332","66,821","68,695","66,286",0.55%
14-Mar-23,"66,964","66,599","67,190","66,021",0.42%
13-Mar-23,"66,681","63,463","66,750","63,463",5.58%
10-Mar-23,"63,154","62,005","63,858","61,629",1.43%
09-Mar-23,"62,264","62,074","62,650","61,800",0.25%
08-Mar-23,"62,106","62,483","62,489","61,880",-0.71%
07-Mar-23,"62,549","64,670","64,670","62,500",-3.18%
06-Mar-23,"64,602","64,802","65,170","64,555",-0.12%
03-Mar-23,"64,680","64,580","64,856","64,110",0.58%
02-Mar-23,"64,304","64,601","64,770","64,151",-0.72%
01-Mar-23,"64,770","64,989","65,288","64,641",2.43%
28-Feb-23,"63,232","62,835","63,281","62,264",0.42%
27-Feb-23,"62,966","63,400","63,400","62,630",-0.84%
24-Feb-23,"63,501","64,688","64,688","63,400",-1.69%
23-Feb-23,"64,592","65,384","65,570","64,546",-1.24%
22-Feb-23,"65,404","66,070","66,075","64,920",-1.11%
21-Feb-23,"66,139","66,280","66,280","65,638",0.27%
20-Feb-23,"65,964","65,802","66,150","65,711",0.18%
17-Feb-23,"65,845","65,488","65,909","64,758",-0.04%
16-Feb-23,"65,874","65,850","66,057","65,324",0.28%
15-Feb-23,"65,688","66,256","66,286","65,444",-1.16%
14-Feb-23,"66,456","66,625","66,764","65,912",0.08%
13-Feb-23,"66,404","66,632","66,820","66,314",-0.69%
10-Feb-23,"66,865","67,030","67,320","66,505",-0.55%
09-Feb-23,"67,234","67,822","68,077","67,013",-0.81%
08-Feb-23,"67,782","67,710","68,050","67,401",0.11%
07-Feb-23,"67,710","67,988","67,988","67,330",0.17%
06-Feb-23,"67,593","67,716","68,277","67,456",-0.25%
03-Feb-23,"67,762","70,400","70,460","67,571",-3.37%
02-Feb-23,"70,123","69,830","72,483","69,830",0.57%
01-Feb-23,"69,728","68,650","70,008","68,637",1.30%
31-Jan-23,"68,831","68,490","68,870","67,813",0.25%
30-Jan-23,"68,662","68,537","68,845","68,420",0.33%
27-Jan-23,"68,435","68,788","68,927","68,100",-0.40%
25-Jan-23,"68,709","68,590","68,787","68,060",0.12%
24-Jan-23,"68,629","68,380","68,750","67,941",0.79%
23-Jan-23,"68,092","68,778","69,150","67,025",-0.81%
20-Jan-23,"68,649","68,722","69,165","68,440",0.32%
19-Jan-23,"68,429","68,200","68,540","67,559",0.13%
18-Jan-23,"68,341","69,396","69,740","68,226",-1.30%
17-Jan-23,"69,242","69,730","69,818","69,059",-0.73%
16-Jan-23,"69,752","69,488","70,025","69,222",0.53%
13-Jan-23,"69,382","68,760","69,415","68,178",1.02%
12-Jan-23,"68,680","68,230","69,231","68,210",0.90%
11-Jan-23,"68,070","68,540","69,200","67,714",-0.54%
10-Jan-23,"68,443","68,798","68,798","68,140",-0.68%
09-Jan-23,"68,915","69,369","69,885","68,812",-0.29%
06-Jan-23,"69,116","68,277","69,227","68,277",1.40%
05-Jan-23,"68,160","70,066","70,066","67,877",-1.66%
04-Jan-23,"69,311","70,130","70,687","69,111",-0.82%
03-Jan-23,"69,886","69,687","70,990","69,687",0.51%
02-Jan-23,"69,530","69,350","69,633","69,336",0.24%
30-Dec-22,"69,362","69,607","69,925","68,742",-0.47%
29-Dec-22,"69,690","68,982","69,810","68,686",1.02%
28-Dec-22,"68,983","69,792","69,838","68,633",-1.12%
27-Dec-22,"69,763","69,250","70,250","69,202",1.03%
26-Dec-22,"69,052","68,876","69,220","68,323",0.05%
23-Dec-22,"69,016","68,600","69,279","68,600",0.71%
22-Dec-22,"68,528","69,653","69,820","68,454",-1.63%
21-Dec-22,"69,667","69,651","70,017","69,300",0.12%
20-Dec-22,"69,583","67,780","69,750","67,375",3.03%
19-Dec-22,"67,536","67,776","68,220","67,208",-0.13%
16-Dec-22,"67,625","67,641","67,826","66,810",-0.27%
15-Dec-22,"67,811","69,095","69,095","67,444",-2.08%
14-Dec-22,"69,252","68,893","69,372","68,659",0.77%
13-Dec-22,"68,721","67,948","69,520","67,948",1.41%
12-Dec-22,"67,768","67,607","68,275","67,511",-0.33%
09-Dec-22,"67,991","67,189","68,159","66,862",1.48%
08-Dec-22,"67,002","66,157","67,232","66,025",1.10%
