Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,Deliverble
02-01-2012,20MICRONS,EQ,62.25,62.05,63.9,61.4,63.5,62.5,62.29,70533,439327000000.00,621,2548,0.0361
03-01-2012,20MICRONS,EQ,62.5,62.9,63.6,61.75,61.8,62.1,62.59,71882,449902000000.00,620,1558,0.0217
04-01-2012,20MICRONS,EQ,62.1,62.9,63,60.45,61.55,61.7,61.79,93013,574696000000.00,639,17975,0.1933
05-01-2012,20MICRONS,EQ,61.7,61.7,63.5,61.7,62.65,62.25,62.6,64952,406583000000.00,586,15710,0.2419
06-01-2012,20MICRONS,EQ,62.25,62.25,63.2,61.4,61.95,62,62.12,94913,589608000000.00,556,45413,0.4785
07-01-2012,20MICRONS,EQ,62,62.15,62.6,62,62.1,62.2,62.28,15670,97598650000.00,88,38,0.0024
09-01-2012,20MICRONS,EQ,62.2,62.95,63.2,61.2,61.4,62,62.4,79006,493003000000.00,552,27253,0.3449
10-01-2012,20MICRONS,EQ,62,62,66.5,61.35,62.3,62.95,62.98,84458,531949000000.00,775,26526,0.3141
11-01-2012,20MICRONS,EQ,62.95,62.1,63.45,62,62.8,62.75,62.93,125068,787067000000.00,691,57997,0.4637
12-01-2012,20MICRONS,EQ,62.75,62.7,63,60.85,62.45,62.2,62.29,101898,634744000000.00,817,34820,0.3417
13-01-2012,20MICRONS,EQ,62.2,62.2,64.2,61.7,62.85,62.8,62.53,73525,459752000000.00,488,6871,0.0935
16-01-2012,20MICRONS,EQ,62.8,62.15,63.5,61.25,61.25,61.8,62.35,82901,516911000000.00,488,8654,0.1044
17-01-2012,20MICRONS,EQ,61.8,61.8,62.9,61.75,61.75,62.25,62.31,105882,659794000000.00,717,14211,0.1342
18-01-2012,20MICRONS,EQ,62.25,62.5,62.95,62.05,62.1,62.2,62.35,68127,424785000000.00,498,1304,0.0191
19-01-2012,20MICRONS,EQ,62.2,62.2,65.45,61.8,64.25,64.5,62.78,93220,585208000000.00,602,5102,0.0547
20-01-2012,20MICRONS,EQ,64.5,64.5,65.8,62.6,63.35,62.95,63.73,73284,467046000000.00,533,2800,0.0382
23-01-2012,20MICRONS,EQ,62.95,63.1,68,62.8,65.85,66,65.04,142210,924927000000.00,1513,43370,0.305
24-01-2012,20MICRONS,EQ,66,65.6,67.45,64.55,64.55,65.55,66.08,77506,512184000000.00,546,5500,0.071
25-01-2012,20MICRONS,EQ,65.55,66,67.45,63.5,63.5,63.9,64.85,127678,828048000000.00,1006,28236,0.2212
27-01-2012,20MICRONS,EQ,63.9,65,65,62.75,63.3,63.25,63.43,101785,645618000000.00,688,16380,0.1609
30-01-2012,20MICRONS,EQ,63.25,63.4,66.9,62.5,64.8,64.2,64.66,125971,814535000000.00,743,35015,0.278
31-01-2012,20MICRONS,EQ,64.2,64.85,64.9,63.8,64.05,64.1,64.29,99827,641745000000.00,677,20324,0.2036
01-02-2012,20MICRONS,EQ,64.1,64.1,65.7,62.45,64.5,63.7,64.02,113043,723757000000.00,992,27490,0.2432
02-02-2012,20MICRONS,EQ,63.7,64.5,66.35,63.5,65.2,64.65,64.09,101260,649003000000.00,1096,18845,0.1861
03-02-2012,20MICRONS,EQ,64.65,66,75.9,66,74.5,74.4,72.25,295771,2136870000000.00,4610,67495,0.2282
06-02-2012,20MICRONS,EQ,74.4,77.2,85.1,74.75,75,75.45,76.46,124607,952774000000.00,1707,25087,0.2013
07-02-2012,20MICRONS,EQ,75.45,76.8,78,74.5,75.1,74.95,75.54,116444,879627000000.00,1467,37517,0.3222
08-02-2012,20MICRONS,EQ,74.95,76.1,76.8,74,74.25,74.2,75.02,92245,691981000000.00,1021,24715,0.2679
09-02-2012,20MICRONS,EQ,74.2,76,77.6,75,77.25,76.9,75.7,90271,683396000000.00,1316,14747,0.1634
10-02-2012,20MICRONS,EQ,76.9,78,79.25,75.05,75.15,75.45,75.89,86945,659783000000.00,949,17918,0.2061
13-02-2012,20MICRONS,EQ,75.45,76,76.9,74.35,76.5,75.55,75.48,79652,601174000000.00,934,13995,0.1757
14-02-2012,20MICRONS,EQ,75.55,76.6,78,75,78,77,76.06,86640,658955000000.00,718,29701,0.3428
15-02-2012,20MICRONS,EQ,77,75.3,80,74,77,76.35,76.59,144034,1103090000000.00,1128,72089,0.5005
16-02-2012,20MICRONS,EQ,76.35,77.2,78.2,75,78,76.2,76.06,121205,921859000000.00,888,64944,0.5358
17-02-2012,20MICRONS,EQ,76.2,77.25,81.75,77,77,77.3,78.4,111329,872807000000.00,1064,52861,0.4748
21-02-2012,20MICRONS,EQ,77.3,78.3,78.3,75,76,76.05,76.81,76455,587285000000.00,689,9034,0.1182
22-02-2012,20MICRONS,EQ,76.05,76.1,79,76,76.6,76.75,77.21,160083,1236070000000.00,947,60560,0.3783
23-02-2012,20MICRONS,EQ,76.75,76.8,77.1,75,76.95,76.75,75.84,107007,811563000000.00,730,44308,0.4141
24-02-2012,20MICRONS,EQ,76.75,80.1,80.1,76,76.5,77.5,77.33,67629,522997000000.00,392,6049,0.0894
27-02-2012,20MICRONS,EQ,77.5,78.1,79.1,76.25,76.3,76.9,77.18,55615,429212000000.00,476,7737,0.1391
28-02-2012,20MICRONS,EQ,76.9,77.9,79.9,76.1,77.1,77,77.28,109787,848478000000.00,459,64091,0.5838
29-02-2012,20MICRONS,EQ,77,78,78.4,77,77.05,77.55,77.57,72697,563909000000.00,414,28102,0.3866
01-03-2012,20MICRONS,EQ,77.55,78,81.5,77.9,79.8,79.05,78.56,62611,491861000000.00,637,17698,0.2827
02-03-2012,20MICRONS,EQ,79.05,80,88,79.9,85.2,84.95,84.59,206433,1746230000000.00,3268,27858,0.1349
03-03-2012,20MICRONS,EQ,84.95,87,87.5,85.3,86.1,86.05,86.02,29129,250570000000.00,301,7565,0.2597
05-03-2012,20MICRONS,EQ,86.05,86.5,88,84.15,85,85.1,85.68,77392,663123000000.00,813,20338,0.2628
06-03-2012,20MICRONS,EQ,85.1,86.05,86.5,82.05,83.35,82.25,84.51,70850,598782000000.00,648,18895,0.2667
07-03-2012,20MICRONS,EQ,82.25,83.9,87.95,83.9,84.15,84.45,84.91,83779,711359000000.00,482,34169,0.4078
09-03-2012,20MICRONS,EQ,84.45,86.4,86.4,81.6,82.6,82.95,83.9,89059,747199000000.00,522,40383,0.4534
12-03-2012,20MICRONS,EQ,82.95,82,85,79.4,81.95,81.65,81.94,92452,757514000000.00,530,26337,0.2849
13-03-2012,20MICRONS,EQ,81.65,84.85,84.85,80.75,82.45,81.75,81.89,78815,645451000000.00,562,23973,0.3042
14-03-2012,20MICRONS,EQ,81.75,80.65,83.8,80.1,82,81.15,81.77,54019,441698000000.00,627,7500,0.1388
15-03-2012,20MICRONS,EQ,81.15,82.55,82.55,80.65,80.65,80.85,81.08,77620,629323000000.00,437,31722,0.4087
